id	NPQC_R_Total	Rating_Type	Rating
124	21	Cool	1
124	21	Fashionable	2
125	28	Attractive	2
125	28	Glamourous	2
125	28	Cool	2
125	28	Fashionable	3
126	22	Attractive	3
126	22	Fashionable	3
126	22	Glamourous	3
126	22	Cool	3
127	35	Attractive	3
127	35	Fashionable	3
127	35	Glamourous	3
127	35	Cool	3
129	29	Attractive	4
129	29	Fashionable	4
129	29	Glamourous	4
129	29	Cool	4
131	42	Attractive	4
131	42	Fashionable	4
131	42	Glamourous	4
131	42	Cool	4
132	27	Cool	2
132	27	Attractive	3
132	27	Fashionable	3
132	27	Glamourous	3
133	27	Attractive	3
133	27	Fashionable	3
133	27	Glamourous	3
133	27	Cool	3
134	36	Cool	3
134	36	Attractive	4
134	36	Fashionable	5
134	36	Glamourous	5
136	40	Glamourous	2
136	40	Attractive	3
136	40	Fashionable	3
136	40	Cool	3
137	25	Cool	1
137	25	Fashionable	2
137	25	Glamourous	2
137	25	Attractive	3
138	42	Attractive	3
138	42	Fashionable	3
138	42	Glamourous	3
138	42	Cool	3
140	25	Attractive	1
140	25	Fashionable	1
140	25	Glamourous	3
140	25	Cool	5
141	33	Attractive	3
141	33	Fashionable	3
141	33	Glamourous	3
141	33	Cool	3
142	36	Attractive	5
142	36	Fashionable	5
142	36	Glamourous	5
142	36	Cool	5
143	45	Attractive	5
143	45	Fashionable	5
143	45	Glamourous	5
143	45	Cool	5
147	31	Attractive	3
147	31	Fashionable	3
147	31	Glamourous	3
147	31	Cool	3
148	23	Fashionable	1
148	23	Glamourous	1
148	23	Attractive	2
148	23	Cool	2
150	28	Fashionable	2
150	28	Glamourous	2
150	28	Cool	2
150	28	Attractive	3
152	26	Attractive	3
152	26	Fashionable	3
152	26	Glamourous	3
152	26	Cool	3
153	37.06	Fashionable	3
153	37.06	Cool	3
153	37.06	Attractive	4
153	37.06	Glamourous	4
154	38	Attractive	3
154	38	Fashionable	3
154	38	Glamourous	3
154	38	Cool	3
157	23	Attractive	2
157	23	Fashionable	2
157	23	Glamourous	2
157	23	Cool	2
158	40	Fashionable	4
158	40	Glamourous	4
158	40	Attractive	5
158	40	Cool	5
159	41	Fashionable	2
159	41	Cool	2
159	41	Glamourous	3
159	41	Attractive	4
161	28	Attractive	1
161	28	Fashionable	1
161	28	Glamourous	3
161	28	Cool	5
162	47	Attractive	5
162	47	Fashionable	5
162	47	Glamourous	5
162	47	Cool	5
163	46	Attractive	3
163	46	Fashionable	3
163	46	Glamourous	3
163	46	Cool	3
165	30	Attractive	3
165	30	Fashionable	3
165	30	Glamourous	3
165	30	Cool	3
167	41	Attractive	3
167	41	Fashionable	3
167	41	Glamourous	3
167	41	Cool	4
168	34	Glamourous	2
168	34	Fashionable	3
168	34	Attractive	4
168	34	Cool	5
169	26	Attractive	3
169	26	Fashionable	3
169	26	Glamourous	3
169	26	Cool	3
170	35	Cool	4
170	35	Attractive	5
170	35	Fashionable	5
170	35	Glamourous	5
173	36	Fashionable	1
173	36	Glamourous	1
173	36	Attractive	2
173	36	Cool	4
174	30	Attractive	3
174	30	Fashionable	3
174	30	Glamourous	3
174	30	Cool	3
175	31	Attractive	3
175	31	Fashionable	3
175	31	Glamourous	3
175	31	Cool	3
178	38	Attractive	3
178	38	Fashionable	4
178	38	Glamourous	4
178	38	Cool	5
179	44	Attractive	3
179	44	Fashionable	3
179	44	Glamourous	3
179	44	Cool	3
180	24.52	Attractive	3
180	24.52	Fashionable	3
180	24.52	Glamourous	3
180	24.52	Cool	3
183	36	Attractive	3
183	36	Fashionable	3
183	36	Glamourous	3
183	36	Cool	3
184	36	Attractive	1
184	36	Fashionable	1
184	36	Glamourous	1
184	36	Cool	1
186	37	Attractive	2
186	37	Fashionable	2
186	37	Glamourous	2
186	37	Cool	2
187	52	Attractive	5
187	52	Fashionable	5
187	52	Glamourous	5
187	52	Cool	5
188	33	Attractive	3
188	33	Fashionable	3
188	33	Glamourous	3
188	33	Cool	3
189	31	Attractive	3
189	31	Glamourous	3
189	31	Fashionable	4
189	31	Cool	4
190	39	Attractive	3
190	39	Fashionable	3
190	39	Glamourous	3
190	39	Cool	3
191	27	Attractive	1
191	27	Glamourous	2
191	27	Fashionable	3
191	27	Cool	3
192	35	Attractive	2
192	35	Cool	2
192	35	Fashionable	3
192	35	Glamourous	3
193	33	Attractive	3
193	33	Fashionable	3
193	33	Glamourous	3
193	33	Cool	3
194	29	Attractive	2
194	29	Fashionable	2
194	29	Glamourous	2
194	29	Cool	2
195	38	Attractive	3
195	38	Fashionable	3
195	38	Glamourous	3
195	38	Cool	3
196	34	Fashionable	2
196	34	Glamourous	2
196	34	Attractive	3
196	34	Cool	3
198	41	Attractive	4
198	41	Fashionable	4
198	41	Glamourous	4
198	41	Cool	4
199	38	Attractive	1
199	38	Fashionable	1
199	38	Glamourous	1
199	38	Cool	1
200	32	Fashionable	3
200	32	Glamourous	3
200	32	Cool	3
200	32	Attractive	5
201	21	Attractive	3
201	21	Fashionable	3
201	21	Glamourous	3
201	21	Cool	3
202	37	Attractive	1
202	37	Fashionable	1
202	37	Glamourous	1
202	37	Cool	1
203	36	Attractive	3
203	36	Fashionable	3
203	36	Glamourous	3
203	36	Cool	3
205	45	Attractive	3
205	45	Fashionable	3
205	45	Glamourous	3
205	45	Cool	3
207	19	Attractive	3
207	19	Fashionable	3
207	19	Glamourous	3
207	19	Cool	3
208	31	Attractive	4
208	31	Fashionable	4
208	31	Glamourous	4
208	31	Cool	4
209	35	Attractive	2
209	35	Fashionable	2
209	35	Glamourous	2
209	35	Cool	5
210	23	Attractive	2
210	23	Fashionable	2
210	23	Glamourous	2
210	23	Cool	3
211	31.06	Fashionable	2
211	31.06	Glamourous	2
211	31.06	Cool	2
211	31.06	Attractive	3
214	38	Glamourous	4
214	38	Attractive	5
214	38	Fashionable	5
214	38	Cool	5
215	30	Attractive	2
215	30	Fashionable	2
215	30	Glamourous	2
215	30	Cool	5
217	39	Attractive	3
217	39	Fashionable	3
217	39	Glamourous	3
217	39	Cool	3
218	34	Attractive	1
218	34	Fashionable	1
218	34	Glamourous	1
218	34	Cool	1
220	38	Attractive	3
220	38	Fashionable	3
220	38	Glamourous	3
220	38	Cool	3
221	40	Attractive	3
221	40	Glamourous	3
221	40	Cool	3
221	40	Fashionable	4
222	27	Attractive	2
222	27	Fashionable	2
222	27	Glamourous	2
222	27	Cool	3
224	33	Fashionable	2
224	33	Cool	2
224	33	Attractive	3
224	33	Glamourous	3
226	39.47	Attractive	3
226	39.47	Fashionable	3
226	39.47	Glamourous	3
226	39.47	Cool	3
227	31	Attractive	2
227	31	Fashionable	2
227	31	Glamourous	2
227	31	Cool	2
228	24	Attractive	3
228	24	Fashionable	3
228	24	Glamourous	3
228	24	Cool	3
229	49	Fashionable	3
229	49	Glamourous	3
229	49	Cool	4
229	49	Attractive	5
230	30	Cool	2
230	30	Glamourous	3
230	30	Attractive	5
230	30	Fashionable	5
231	34	Attractive	4
231	34	Fashionable	4
231	34	Glamourous	4
231	34	Cool	4
232	32	Attractive	1
232	32	Fashionable	1
232	32	Glamourous	1
232	32	Cool	1
234	44	Attractive	3
234	44	Fashionable	3
234	44	Glamourous	3
234	44	Cool	3
235	35	Attractive	2
235	35	Fashionable	2
235	35	Glamourous	2
235	35	Cool	4
236	24	Attractive	3
236	24	Fashionable	3
236	24	Glamourous	3
236	24	Cool	3
237	32	Fashionable	2
237	32	Glamourous	2
237	32	Cool	2
237	32	Attractive	3
238	45	Attractive	5
238	45	Fashionable	5
238	45	Glamourous	5
238	45	Cool	5
240	14	Attractive	2
240	14	Fashionable	2
240	14	Glamourous	2
240	14	Cool	2
242	36	Fashionable	2
242	36	Glamourous	2
242	36	Attractive	3
242	36	Cool	4
243	41	Attractive	3
243	41	Fashionable	3
243	41	Glamourous	3
243	41	Cool	3
245	31	Attractive	3
245	31	Glamourous	3
245	31	Fashionable	4
245	31	Cool	4
247	26	Attractive	2
247	26	Fashionable	2
247	26	Glamourous	2
247	26	Cool	2
248	47	Attractive	3
248	47	Fashionable	3
248	47	Glamourous	3
248	47	Cool	3
250	29	Attractive	3
250	29	Fashionable	3
250	29	Glamourous	3
250	29	Cool	3
251	22	Attractive	3
251	22	Fashionable	3
251	22	Glamourous	3
251	22	Cool	3
255	25	Attractive	2
255	25	Fashionable	2
255	25	Glamourous	2
255	25	Cool	2
256	23	Attractive	2
256	23	Fashionable	2
256	23	Glamourous	2
256	23	Cool	2
257	22	Glamourous	2
257	22	Cool	2
257	22	Attractive	3
257	22	Fashionable	3
258	51	Glamourous	3
258	51	Attractive	4
258	51	Fashionable	5
258	51	Cool	5
260	30	Cool	3
260	30	Fashionable	4
260	30	Glamourous	4
260	30	Attractive	5
264	26	Attractive	2
264	26	Fashionable	2
264	26	Glamourous	3
264	26	Cool	3
265	34	Attractive	2
265	34	Fashionable	2
265	34	Glamourous	2
265	34	Cool	2
266	41.39	Attractive	4
266	41.39	Fashionable	4
266	41.39	Glamourous	4
266	41.39	Cool	5
267	42	Attractive	3
267	42	Fashionable	3
267	42	Glamourous	3
267	42	Cool	4
268	33	Fashionable	2
268	33	Glamourous	3
268	33	Cool	3
268	33	Attractive	4
269	36	Attractive	3
269	36	Fashionable	3
269	36	Glamourous	3
269	36	Cool	3
270	37	Attractive	5
270	37	Fashionable	5
270	37	Glamourous	5
270	37	Cool	5
271	30	Attractive	3
271	30	Glamourous	3
271	30	Fashionable	4
271	30	Cool	4
272	36	Attractive	3
272	36	Fashionable	3
272	36	Glamourous	3
272	36	Cool	3
273	36	Attractive	3
273	36	Fashionable	3
273	36	Glamourous	3
273	36	Cool	3
274	38	Attractive	3
274	38	Fashionable	4
274	38	Glamourous	4
274	38	Cool	5
275	42	Attractive	4
275	42	Fashionable	4
275	42	Glamourous	4
275	42	Cool	4
