Success	Funny	Sex	Good_Mate	Gender
Get Phone Number	2	6	7	Male
No response/Walk Off	3	7	6	Male
Go Home with Person	5	2	6	Male
Get Phone Number	4	7	6	Male
Get Phone Number	4	6	6	Male
Go Home with Person	2	7	6	Male
Get Phone Number	3	4	6	Male
No response/Walk Off	5	4	0	Male
No response/Walk Off	3	6	5	Male
Go Home with Person	3	3	5	Male
Get Phone Number	4	6	4	Male
Get Phone Number	5	6	7	Male
Get Phone Number	2	6	6	Male
Get Phone Number	3	4	7	Male
No response/Walk Off	2	6	6	Male
Go Home with Person	3	6	9	Male
Get Phone Number	3	7	5	Male
Get Phone Number	2	4	6	Male
Get Phone Number	2	6	1	Male
Go Home with Person	5	7	6	Male
No response/Walk Off	1	7	2	Male
No response/Walk Off	2	6	6	Male
Get Phone Number	8	5	3	Male
Go Home with Person	3	8	4	Male
No response/Walk Off	2	2	5	Male
No response/Walk Off	5	6	4	Male
Get Phone Number	2	6	5	Male
Get Phone Number	3	6	6	Male
Go Home with Person	8	8	5	Male
Get Phone Number	4	4	6	Male
Go Home with Person	5	3	6	Male
Get Phone Number	4	8	6	Male
Get Phone Number	5	7	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	4	7	6	Male
Get Phone Number	5	6	7	Male
Get Phone Number	4	6	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	3	1	6	Male
Get Phone Number	5	6	3	Male
Get Phone Number	4	7	6	Male
Get Phone Number	4	7	5	Male
Get Phone Number	5	6	6	Male
Get Phone Number	3	7	6	Male
Get Phone Number	6	3	6	Male
No response/Walk Off	4	7	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	2	6	5	Male
Get Phone Number	4	6	7	Male
No response/Walk Off	5	7	7	Male
No response/Walk Off	1	4	6	Male
Get Phone Number	3	6	6	Male
No response/Walk Off	5	5	6	Male
Go Home with Person	7	8	1	Male
No response/Walk Off	4	6	7	Male
Get Phone Number	3	6	5	Male
Go Home with Person	4	8	7	Male
Get Phone Number	3	8	5	Male
Go Home with Person	4	7	6	Male
Get Phone Number	3	6	6	Male
Go Home with Person	3	8	6	Male
Get Phone Number	4	6	5	Male
No response/Walk Off	4	6	5	Male
Go Home with Person	4	7	6	Male
No response/Walk Off	3	7	2	Male
Get Phone Number	3	6	6	Male
No response/Walk Off	3	6	5	Male
No response/Walk Off	2	4	6	Male
Get Phone Number	5	6	6	Male
Get Phone Number	3	6	6	Male
No response/Walk Off	4	6	6	Male
Go Home with Person	6	7	6	Male
Get Phone Number	3	6	6	Male
Go Home with Person	3	7	6	Male
No response/Walk Off	2	6	6	Male
No response/Walk Off	2	5	5	Male
Get Phone Number	6	7	5	Male
Get Phone Number	4	6	1	Male
No response/Walk Off	3	5	5	Male
Get Phone Number	5	6	6	Male
No response/Walk Off	4	9	7	Male
Go Home with Person	3	7	6	Male
Get Phone Number	2	8	7	Male
Go Home with Person	5	7	7	Male
Go Home with Person	4	7	6	Male
Go Home with Person	3	3	5	Male
Get Phone Number	5	7	6	Male
No response/Walk Off	3	5	6	Male
Get Phone Number	3	6	5	Male
No response/Walk Off	3	5	4	Male
Go Home with Person	2	7	5	Male
No response/Walk Off	1	6	6	Male
Get Phone Number	2	7	4	Male
Get Phone Number	3	6	6	Male
Get Phone Number	3	3	5	Male
No response/Walk Off	2	3	6	Male
No response/Walk Off	5	6	7	Male
No response/Walk Off	3	6	6	Male
Get Phone Number	4	7	6	Male
No response/Walk Off	3	6	5	Male
Get Phone Number	4	6	6	Male
Get Phone Number	2	6	5	Male
Go Home with Person	6	8	8	Male
Go Home with Person	4	7	9	Male
Get Phone Number	3	6	5	Male
No response/Walk Off	1	6	5	Male
Get Phone Number	3	6	6	Male
Go Home with Person	7	10	5	Male
Get Phone Number	3	4	10	Male
Go Home with Person	3	7	6	Male
No response/Walk Off	9	8	6	Male
Get Phone Number	4	6	6	Male
Go Home with Person	3	7	5	Male
Get Phone Number	3	7	6	Male
No response/Walk Off	3	6	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	3	6	6	Male
Go Home with Person	4	8	1	Male
Get Phone Number	2	5	5	Male
No response/Walk Off	2	6	6	Male
Get Phone Number	6	7	6	Male
Get Phone Number	3	7	5	Male
No response/Walk Off	5	3	5	Male
Get Phone Number	4	7	6	Male
Go Home with Person	3	7	5	Male
No response/Walk Off	3	2	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	2	5	6	Male
Go Home with Person	3	3	5	Male
Get Phone Number	6	7	7	Male
Get Phone Number	5	7	5	Male
Get Phone Number	3	7	5	Male
Get Phone Number	3	6	6	Male
Go Home with Person	2	7	5	Male
No response/Walk Off	4	6	6	Male
Get Phone Number	1	5	4	Male
Get Phone Number	2	6	3	Male
Get Phone Number	3	6	5	Male
Get Phone Number	3	4	6	Male
Go Home with Person	3	5	2	Male
Go Home with Person	4	8	7	Male
Go Home with Person	4	6	7	Male
No response/Walk Off	2	5	6	Male
Get Phone Number	2	6	5	Male
Go Home with Person	7	9	6	Male
Get Phone Number	3	7	5	Male
Get Phone Number	4	2	4	Male
Go Home with Person	2	7	6	Male
Get Phone Number	2	6	6	Male
Get Phone Number	2	4	3	Male
Get Phone Number	4	7	6	Male
Get Phone Number	2	6	6	Male
Get Phone Number	4	7	5	Male
Go Home with Person	4	6	3	Male
Get Phone Number	2	7	6	Male
Get Phone Number	4	7	6	Male
No response/Walk Off	3	6	5	Male
Get Phone Number	6	7	6	Male
Go Home with Person	5	8	6	Male
No response/Walk Off	2	6	5	Male
Get Phone Number	4	6	6	Male
Get Phone Number	3	7	6	Male
Get Phone Number	2	6	7	Male
Get Phone Number	3	8	5	Male
Get Phone Number	2	10	7	Male
Get Phone Number	2	7	6	Male
Go Home with Person	5	9	4	Male
Get Phone Number	4	7	5	Male
Get Phone Number	1	5	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	2	7	5	Male
Get Phone Number	3	6	5	Male
Get Phone Number	2	7	5	Male
Get Phone Number	3	5	6	Male
Get Phone Number	4	7	5	Male
Go Home with Person	4	7	7	Male
No response/Walk Off	7	6	5	Male
Get Phone Number	10	7	6	Male
Get Phone Number	4	6	6	Male
Get Phone Number	3	6	5	Male
Get Phone Number	4	7	5	Male
Go Home with Person	4	7	7	Male
Go Home with Person	3	6	7	Male
Get Phone Number	2	5	2	Male
Get Phone Number	2	7	5	Male
Go Home with Person	5	3	5	Male
Get Phone Number	6	7	5	Male
Get Phone Number	3	6	7	Male
No response/Walk Off	4	6	6	Male
Get Phone Number	3	7	5	Male
Go Home with Person	3	8	4	Male
Get Phone Number	3	6	6	Male
Get Phone Number	6	7	6	Male
Get Phone Number	4	6	9	Male
Get Phone Number	3	5	6	Male
No response/Walk Off	1	4	4	Male
No response/Walk Off	3	7	5	Male
Get Phone Number	5	7	7	Male
Get Phone Number	5	7	5	Male
Go Home with Person	6	7	6	Male
Get Phone Number	3	6	5	Male
Get Phone Number	3	6	6	Male
Go Home with Person	5	7	6	Male
Go Home with Person	4	7	5	Male
No response/Walk Off	3	1	6	Male
Get Phone Number	0	9	6	Male
No response/Walk Off	2	2	5	Male
Get Phone Number	2	6	6	Male
Get Phone Number	3	6	2	Male
Get Phone Number	3	5	7	Male
Get Phone Number	3	7	6	Male
Get Phone Number	3	6	6	Male
Go Home with Person	1	5	5	Male
Get Phone Number	4	4	5	Male
Get Phone Number	5	8	6	Male
No response/Walk Off	4	6	6	Male
Get Phone Number	5	8	7	Male
Get Phone Number	9	7	6	Male
No response/Walk Off	2	6	5	Male
Go Home with Person	4	7	7	Male
Get Phone Number	3	7	7	Male
Get Phone Number	3	6	6	Male
Go Home with Person	3	6	3	Male
No response/Walk Off	4	6	4	Male
No response/Walk Off	3	5	5	Male
Get Phone Number	5	6	5	Male
Get Phone Number	3	7	5	Male
Get Phone Number	2	6	6	Male
Go Home with Person	9	7	7	Male
Get Phone Number	4	6	6	Male
Get Phone Number	3	6	6	Male
Go Home with Person	4	10	5	Male
Get Phone Number	3	5	9	Male
Get Phone Number	4	6	5	Male
Get Phone Number	3	3	5	Male
Go Home with Person	2	7	5	Male
Get Phone Number	4	6	6	Male
Go Home with Person	6	7	5	Male
Go Home with Person	2	7	5	Male
Get Phone Number	4	8	6	Male
Go Home with Person	3	7	5	Male
Go Home with Person	5	6	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	4	7	2	Male
Go Home with Person	5	8	5	Male
Go Home with Person	5	5	7	Male
Go Home with Person	3	1	6	Male
No response/Walk Off	4	3	1	Male
Get Phone Number	2	6	6	Male
Go Home with Person	3	7	3	Male
Get Phone Number	3	6	6	Male
Get Phone Number	3	7	6	Male
Get Phone Number	4	6	6	Male
Get Phone Number	3	7	6	Male
Go Home with Person	4	7	6	Male
Get Phone Number	3	4	10	Male
Get Phone Number	4	7	5	Male
Get Phone Number	2	7	5	Male
No response/Walk Off	2	7	8	Male
No response/Walk Off	3	5	5	Male
Get Phone Number	5	7	6	Male
Go Home with Person	5	7	9	Male
No response/Walk Off	3	6	6	Male
Go Home with Person	4	7	6	Male
Go Home with Person	3	7	6	Male
Go Home with Person	5	1	6	Male
No response/Walk Off	3	5	6	Male
No response/Walk Off	7	7	6	Male
Get Phone Number	6	7	1	Male
No response/Walk Off	2	4	5	Male
Get Phone Number	3	6	6	Male
Go Home with Person	2	2	6	Male
Get Phone Number	3	4	5	Male
Get Phone Number	4	6	6	Male
Get Phone Number	8	7	6	Male
Get Phone Number	3	4	6	Male
No response/Walk Off	2	6	1	Male
Get Phone Number	1	4	7	Male
No response/Walk Off	2	5	7	Male
Go Home with Person	4	9	5	Male
Go Home with Person	4	6	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	4	6	7	Male
Get Phone Number	4	6	6	Male
Get Phone Number	3	6	5	Male
No response/Walk Off	2	5	6	Male
Get Phone Number	4	6	6	Male
Get Phone Number	4	6	7	Male
Get Phone Number	3	7	5	Male
No response/Walk Off	4	7	4	Male
Get Phone Number	2	5	6	Male
Get Phone Number	6	6	5	Female
No response/Walk Off	2	6	6	Female
Get Phone Number	3	6	4	Female
No response/Walk Off	3	7	6	Female
Get Phone Number	5	6	6	Female
Get Phone Number	4	6	6	Female
Get Phone Number	5	7	5	Female
Get Phone Number	6	6	6	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	5	6	5	Female
Get Phone Number	5	5	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	7	5	Female
No response/Walk Off	3	6	5	Female
Get Phone Number	6	8	6	Female
Get Phone Number	5	8	7	Female
No response/Walk Off	3	8	6	Female
Get Phone Number	6	7	9	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	4	4	5	Female
Get Phone Number	5	8	6	Female
Get Phone Number	5	7	5	Female
Get Phone Number	5	7	6	Female
Go Home with Person	6	10	7	Female
Get Phone Number	4	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	5	5	6	Female
No response/Walk Off	6	6	5	Female
No response/Walk Off	3	6	4	Female
Go Home with Person	7	6	7	Female
Get Phone Number	5	6	6	Female
Get Phone Number	6	6	7	Female
Get Phone Number	5	7	8	Female
No response/Walk Off	5	8	7	Female
Get Phone Number	5	1	6	Female
Get Phone Number	5	7	6	Female
Get Phone Number	4	6	5	Female
No response/Walk Off	4	6	10	Female
Go Home with Person	4	7	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	6	6	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	7	7	6	Female
No response/Walk Off	6	8	4	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	6	6	7	Female
Get Phone Number	5	6	6	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	4	7	10	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	6	3	6	Female
Go Home with Person	6	7	6	Female
Get Phone Number	3	8	1	Female
No response/Walk Off	4	6	4	Female
No response/Walk Off	2	6	6	Female
Go Home with Person	5	7	5	Female
Get Phone Number	5	5	6	Female
Get Phone Number	5	7	5	Female
No response/Walk Off	5	8	7	Female
No response/Walk Off	2	7	5	Female
Get Phone Number	4	7	6	Female
No response/Walk Off	4	0	5	Female
No response/Walk Off	5	7	6	Female
Go Home with Person	6	7	7	Female
Get Phone Number	6	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	5	6	6	Female
Go Home with Person	7	7	5	Female
No response/Walk Off	5	7	9	Female
Get Phone Number	4	6	5	Female
No response/Walk Off	5	8	5	Female
Get Phone Number	6	6	6	Female
Go Home with Person	7	7	7	Female
No response/Walk Off	5	5	5	Female
Get Phone Number	5	9	6	Female
Go Home with Person	5	6	6	Female
Get Phone Number	6	5	6	Female
Get Phone Number	4	0	6	Female
Get Phone Number	5	4	7	Female
No response/Walk Off	3	6	10	Female
No response/Walk Off	0	3	5	Female
Get Phone Number	5	4	2	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	2	6	5	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	5	3	5	Female
Get Phone Number	4	4	6	Female
Go Home with Person	8	7	6	Female
Get Phone Number	6	6	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	3	7	3	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	3	7	3	Female
No response/Walk Off	4	7	5	Female
Get Phone Number	5	6	1	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	5	5	Female
Get Phone Number	5	5	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	7	7	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	6	1	Female
No response/Walk Off	5	9	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	5	5	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	4	9	5	Female
Go Home with Person	8	7	7	Female
No response/Walk Off	7	6	6	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	5	6	5	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	6	9	7	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	3	6	5	Female
No response/Walk Off	2	5	6	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	4	4	5	Female
No response/Walk Off	4	6	5	Female
Go Home with Person	10	9	8	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	7	6	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	5	7	Female
Get Phone Number	9	7	6	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	1	4	3	Female
No response/Walk Off	4	6	9	Female
No response/Walk Off	2	6	5	Female
Get Phone Number	5	6	6	Female
Get Phone Number	3	4	6	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	5	5	Female
No response/Walk Off	3	8	7	Female
Get Phone Number	8	6	7	Female
Get Phone Number	4	5	5	Female
Get Phone Number	5	6	7	Female
No response/Walk Off	6	4	5	Female
Get Phone Number	3	6	6	Female
No response/Walk Off	6	7	5	Female
Get Phone Number	6	4	6	Female
No response/Walk Off	5	5	5	Female
No response/Walk Off	2	8	5	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	6	2	6	Female
Get Phone Number	4	5	5	Female
Get Phone Number	5	2	6	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	4	6	6	Female
Go Home with Person	9	6	7	Female
No response/Walk Off	5	3	6	Female
Get Phone Number	6	7	7	Female
Get Phone Number	4	8	6	Female
Get Phone Number	6	3	6	Female
No response/Walk Off	4	6	2	Female
Get Phone Number	7	7	5	Female
No response/Walk Off	1	7	4	Female
No response/Walk Off	3	8	5	Female
Get Phone Number	5	6	4	Female
Get Phone Number	5	6	7	Female
Go Home with Person	8	7	7	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	3	5	4	Female
No response/Walk Off	4	3	6	Female
No response/Walk Off	5	3	4	Female
Get Phone Number	5	7	9	Female
No response/Walk Off	2	6	3	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	6	10	Female
No response/Walk Off	5	7	5	Female
Get Phone Number	3	5	10	Female
No response/Walk Off	6	7	6	Female
Get Phone Number	9	9	7	Female
No response/Walk Off	3	6	5	Female
No response/Walk Off	4	3	5	Female
No response/Walk Off	4	7	5	Female
No response/Walk Off	4	5	6	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	6	3	Female
No response/Walk Off	5	9	2	Female
No response/Walk Off	3	4	4	Female
No response/Walk Off	5	4	6	Female
Go Home with Person	6	7	6	Female
Get Phone Number	4	6	9	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	4	5	5	Female
Get Phone Number	5	6	5	Female
Get Phone Number	5	1	5	Female
Get Phone Number	5	6	10	Female
Get Phone Number	5	9	6	Female
No response/Walk Off	5	7	9	Female
Get Phone Number	5	6	5	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	4	6	7	Female
Get Phone Number	6	7	5	Female
Get Phone Number	5	7	6	Female
Go Home with Person	6	6	8	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	5	4	Female
No response/Walk Off	6	7	5	Female
Get Phone Number	5	7	5	Female
Get Phone Number	5	6	5	Female
Go Home with Person	6	4	7	Female
No response/Walk Off	6	7	6	Female
No response/Walk Off	3	6	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	4	3	6	Female
Get Phone Number	5	8	5	Female
Get Phone Number	3	5	5	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	6	5	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	7	6	Female
Get Phone Number	7	7	6	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	3	7	6	Female
No response/Walk Off	2	2	4	Female
Get Phone Number	5	7	2	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	2	7	4	Female
Get Phone Number	4	6	9	Female
Go Home with Person	5	7	7	Female
Go Home with Person	6	2	3	Female
No response/Walk Off	4	7	7	Female
Get Phone Number	8	8	8	Female
No response/Walk Off	4	6	6	Female
Get Phone Number	4	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	3	6	6	Female
No response/Walk Off	5	6	5	Female
Get Phone Number	4	7	6	Female
No response/Walk Off	6	6	2	Female
Get Phone Number	8	5	6	Female
Get Phone Number	5	6	6	Female
Go Home with Person	7	6	8	Female
Go Home with Person	6	2	6	Female
No response/Walk Off	3	7	4	Female
Get Phone Number	4	6	4	Female
Get Phone Number	6	6	7	Female
Go Home with Person	7	7	5	Female
Get Phone Number	7	7	6	Female
No response/Walk Off	4	5	5	Female
No response/Walk Off	4	7	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	3	6	5	Female
Go Home with Person	9	8	7	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	6	5	6	Female
No response/Walk Off	4	7	5	Female
No response/Walk Off	3	5	5	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	4	5	5	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	5	2	Female
No response/Walk Off	3	5	4	Female
Get Phone Number	5	6	6	Female
Get Phone Number	6	6	10	Female
Get Phone Number	4	6	5	Female
Get Phone Number	5	10	6	Female
Get Phone Number	4	7	6	Female
Get Phone Number	4	6	3	Female
Get Phone Number	7	7	6	Female
No response/Walk Off	4	6	3	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	3	6	5	Female
No response/Walk Off	3	6	4	Female
No response/Walk Off	4	7	5	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	6	4	Female
Go Home with Person	5	3	5	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	5	10	5	Female
Go Home with Person	4	7	6	Female
Get Phone Number	5	6	5	Female
Get Phone Number	4	6	5	Female
Get Phone Number	5	6	7	Female
No response/Walk Off	7	6	6	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	3	7	6	Female
No response/Walk Off	2	7	6	Female
Get Phone Number	5	6	3	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	6	6	Female
Go Home with Person	5	7	6	Female
No response/Walk Off	3	10	4	Female
No response/Walk Off	3	7	6	Female
No response/Walk Off	6	7	7	Female
Get Phone Number	4	5	5	Female
Get Phone Number	5	7	9	Female
Get Phone Number	5	6	6	Female
Get Phone Number	6	6	5	Female
No response/Walk Off	4	6	6	Female
Get Phone Number	6	6	6	Female
Get Phone Number	6	7	7	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	6	6	6	Female
Go Home with Person	7	7	7	Female
Get Phone Number	7	9	5	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	10	6	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	4	6	Female
Get Phone Number	5	6	5	Female
No response/Walk Off	3	2	9	Female
No response/Walk Off	5	3	5	Female
Get Phone Number	5	3	6	Female
Get Phone Number	2	6	4	Female
No response/Walk Off	5	7	5	Female
Get Phone Number	6	6	6	Female
Go Home with Person	8	5	7	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	5	7	5	Female
Get Phone Number	5	6	5	Female
No response/Walk Off	3	6	5	Female
No response/Walk Off	5	1	5	Female
Go Home with Person	9	2	9	Female
No response/Walk Off	5	7	7	Female
Get Phone Number	7	4	6	Female
Go Home with Person	7	7	5	Female
Get Phone Number	7	7	7	Female
Go Home with Person	6	6	10	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	3	6	6	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	3	5	5	Female
No response/Walk Off	5	6	0	Female
Get Phone Number	5	6	6	Female
Get Phone Number	5	7	6	Female
Go Home with Person	6	7	3	Female
Get Phone Number	3	5	6	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	5	6	5	Female
Go Home with Person	5	6	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	6	6	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	3	7	6	Female
Get Phone Number	5	6	6	Female
Go Home with Person	5	2	1	Female
No response/Walk Off	2	6	4	Female
No response/Walk Off	3	5	6	Female
No response/Walk Off	4	7	5	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	6	6	6	Female
No response/Walk Off	5	6	5	Female
Go Home with Person	5	5	5	Female
Get Phone Number	4	6	9	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	5	6	Female
No response/Walk Off	6	6	6	Female
Get Phone Number	6	6	7	Female
Go Home with Person	6	6	7	Female
Get Phone Number	5	4	6	Female
Get Phone Number	5	5	5	Female
No response/Walk Off	5	7	7	Female
Get Phone Number	5	4	6	Female
Get Phone Number	6	7	7	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	5	9	6	Female
Get Phone Number	3	6	5	Female
No response/Walk Off	5	2	0	Female
No response/Walk Off	6	5	6	Female
Get Phone Number	5	5	5	Female
No response/Walk Off	5	6	6	Female
Go Home with Person	6	4	6	Female
No response/Walk Off	3	7	4	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	4	7	5	Female
Get Phone Number	4	7	6	Female
No response/Walk Off	5	6	5	Female
Get Phone Number	7	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	6	6	7	Female
No response/Walk Off	3	6	5	Female
Get Phone Number	7	6	3	Female
Get Phone Number	6	1	7	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	5	7	7	Female
No response/Walk Off	3	1	4	Female
No response/Walk Off	7	7	8	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	3	1	5	Female
Get Phone Number	6	7	5	Female
Get Phone Number	6	6	6	Female
Get Phone Number	5	6	5	Female
No response/Walk Off	5	9	3	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	5	7	5	Female
No response/Walk Off	4	7	6	Female
Get Phone Number	3	5	6	Female
Get Phone Number	4	6	6	Female
Get Phone Number	4	4	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	6	2	Female
Get Phone Number	5	6	7	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	7	6	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	5	6	4	Female
Go Home with Person	4	4	4	Female
No response/Walk Off	6	7	7	Female
No response/Walk Off	4	7	5	Female
Get Phone Number	6	6	5	Female
No response/Walk Off	4	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	6	7	6	Female
No response/Walk Off	5	3	5	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	4	5	5	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	6	9	Female
Go Home with Person	7	5	6	Female
Get Phone Number	3	5	6	Female
Get Phone Number	5	7	5	Female
No response/Walk Off	5	2	6	Female
No response/Walk Off	5	9	5	Female
No response/Walk Off	3	5	4	Female
Go Home with Person	7	6	5	Female
Go Home with Person	6	7	7	Female
No response/Walk Off	1	4	7	Female
No response/Walk Off	4	6	6	Female
Get Phone Number	4	6	6	Female
Go Home with Person	7	7	6	Female
